Discipline,Category,Parameter,Name,Frequency,Unit,Missing,Range Folded,No Coverage,Description,Notes
209,2,0,LightningDensityNLDN1min,1-min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 1-min - NLDN,
209,2,1,LightningDensityNLDN5min,1-min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 5-min - NLDN,
209,2,2,LightningDensityNLDN15min,1-min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 15-min - NLDN,
209,2,3,LightningDensityNLDN30min,1-min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 30-min - NLDN,
209,2,4,LightningProbabilityNext30min,15-min,%,0,n/a,0,Lightning Probability 0-30 minutes - NLDN,updated units and special values
209,3,0,MergedAzShear0to2kmAGL,2-min,0.001/s,0,0,0,Azimuth Shear 0-2km AGL,updated units and special values
209,3,1,MergedAzShear3to6kmAGL,2-min,0.001/s,0,0,0,Azimuth Shear 3-6km AGL,updated units and special values
209,3,2,RotationTrack30min,2-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 30-min,updated units and special values
209,3,3,RotationTrack60min,2-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 60-min,updated units and special values
209,3,4,RotationTrack120min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 120-min,updated units and special values
209,3,5,RotationTrack240min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 240-min,updated units and special values
209,3,6,RotationTrack360min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 360-min,updated units and special values
209,3,7,RotationTrack1440min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 1440-min,updated units and special values
209,3,14,RotationTrackML30min,2-min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 30-min,updated units and special values
209,3,15,RotationTrackML60min,2-min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 60-min,updated units and special values
209,3,16,RotationTrackML120min,30-min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 120-min,updated units and special values
209,3,17,RotationTrackML240min,30-min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 240-min,updated units and special values
209,3,18,RotationTrackML360min,30-min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 360-min,updated units and special values
209,3,19,RotationTrackML1440min,30-min,0.001/s,0,n/a,0,Rotation Track 0-3km AGL 1440-min,updated units and special values
209,3,26,SHI,2-min,index,-1,n/a,-3,Severe Hail Index,
209,3,27,POSH,2-min,%,-1,n/a,-3,Prob of Severe Hail,
209,3,28,MESH,2-min,mm,-1,n/a,-3,Maximum Estimated Size of Hail (MESH),
209,3,29,MESHMax30min,2-min,mm,-1,n/a,-3,MESH Hail Swath 30-min,
209,3,30,MESHMax60min,2-min,mm,-1,n/a,-3,MESH Hail Swath 60-min,
209,3,31,MESHMax120min,30-min,mm,-1,n/a,-3,MESH Hail Swath 120-min,
209,3,32,MESHMax240min,30-min,mm,-1,n/a,-3,MESH Hail Swath 240-min,Available no later than MRMS v11
209,3,33,MESHMax360min,30-min,mm,-1,n/a,-3,MESH Hail Swath 360-min,
209,3,34,MESHMax1440min,30-min,mm,-1,n/a,-3,MESH Hail Swath 1440-min,
209,3,41,VIL,2-min,kg/m^2,-1,n/a,-3,Vertically Integrated Liquid,
209,3,42,VILDensity,2-min,g/m^3,-1,n/a,-3,Vertically Integrated Liquid Density,
209,3,43,VII,2-min,kg/m^2,-1,n/a,-3,Vertically Integrated Ice,
209,3,44,EchoTop18,2-min,km MSL,-1,n/a,-3,Echo Top - 18 dBZ,
209,3,45,EchoTop30,2-min,km MSL,-1,n/a,-3,Echo Top - 30 dBZ,
209,3,46,EchoTop50,2-min,km MSL,-1,n/a,-3,Echo Top - 50 dBZ,
209,3,47,EchoTop60,2-min,km MSL,-1,n/a,-3,Echo Top - 60 dBZ,
209,3,48,H50AboveM20C,2-min,km,-99,n/a,-999,Thickness [50 dBZ top - (-20C)],updated special values
209,3,49,H50Above0C,2-min,km,-99,n/a,-999,Thickness [50 dBZ top - 0C],updated special values
209,3,50,H60AboveM20C,2-min,km,-99,n/a,-999,Thickness [60 dBZ top - (-20C)],updated special values
209,3,51,H60Above0C,2-min,km,-99,n/a,-999,Thickness [60 dBZ top - 0C],updated special values
209,3,52,Reflectivity0C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at 0C,
209,3,53,ReflectivityM5C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -5C,
209,3,54,ReflectivityM10C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -10C,
209,3,55,ReflectivityM15C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -15C,
209,3,56,ReflectivityM20C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -20C,
