Discipline,Category,Parameter,Name,Frequency,Unit,Missing,Range Folded,No Coverage,Description,Notes
209,2,0,NLDN_CG_001min,1-min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 1-min - NLDN,
209,2,1,NLDN_CG_005min,1-min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 5-min - NLDN,
209,2,2,NLDN_CG_015min,1-min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 15-min - NLDN,
209,2,3,NLDN_CG_030min,1-min,flashes/km^2/min,-1,n/a,-3,CG Lightning Density 30-min - NLDN,
209,2,4,LightningProbabilityNext30min,15-min,%,0,n/a,0,Lightning Probability 0-30 minutes - NLDN,
209,3,0,MergedAzShear0to2kmAGL,2-min,0.001/s,0,0,0,Azimuth Shear 0-2km AGL,
209,3,1,MergedAzShear3to6kmAGL,2-min,0.001/s,0,0,0,Azimuth Shear 3-6km AGL,
209,3,2,RotationTrack30min,2-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 30-min,
209,3,3,RotationTrack60min,2-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 60-min,
209,3,4,RotationTrack120min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 120-min,
209,3,5,RotationTrack240min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 240-min,
209,3,6,RotationTrack360min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 360-min,
209,3,7,RotationTrack1440min,30-min,0.001/s,0,n/a,0,Rotation Track 0-2km AGL 1440-min,
209,3,14,RotationTrackML30min,2-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 30-min,
209,3,15,RotationTrackML60min,2-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 60-min,
209,3,16,RotationTrackML120min,30-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 120-min,
209,3,17,RotationTrackML240min,30-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 240-min,
209,3,18,RotationTrackML360min,30-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 360-min,
209,3,19,RotationTrackML1440min,30-min,0.001/s,0,n/a,0,Rotation Track 3-6km AGL 1440-min,
209,3,26,SHI,2-min,index,-1,n/a,-3,Severe Hail Index,
209,3,27,POSH,2-min,%,-1,n/a,-3,Prob of Severe Hail,
209,3,28,MESH,2-min,mm,-1,n/a,-3,Maximum Estimated Size of Hail (MESH),
209,3,29,MESHMax30min,2-min,mm,-1,n/a,-3,MESH Hail Swath 30-min,
209,3,30,MESHMax60min,2-min,mm,-1,n/a,-3,MESH Hail Swath 60-min,
209,3,31,MESHMax120min,30-min,mm,-1,n/a,-3,MESH Hail Swath 120-min,
209,3,32,MESHMax240min,30-min,mm,-1,n/a,-3,MESH Hail Swath 240-min,NEW!
209,3,33,MESHMax360min,30-min,mm,-1,n/a,-3,MESH Hail Swath 360-min,
209,3,34,MESHMax1440min,30-min,mm,-1,n/a,-3,MESH Hail Swath 1440-min,
209,3,41,VIL,2-min,kg/m^2,-1,n/a,-3,Vertically Integrated Liquid,
209,3,42,VILDensity,2-min,g/m^3,-1,n/a,-3,Vertically Integrated Liquid Density,
209,3,43,VII,2-min,kg/m^2,-1,n/a,-3,Vertically Integrated Ice,
209,3,44,EchoTop_18,2-min,km MSL,-1,n/a,-3,Echo Top - 18 dBZ,
209,3,45,EchoTop_30,2-min,km MSL,-1,n/a,-3,Echo Top - 30 dBZ,
209,3,46,EchoTop_50,2-min,km MSL,-1,n/a,-3,Echo Top - 50 dBZ,
209,3,47,EchoTop_60,2-min,km MSL,-1,n/a,-3,Echo Top - 60 dBZ,
209,3,48,H50AboveM20C,2-min,km,-99,n/a,-999,Thickness [50 dBZ top - (-20C)],
209,3,49,H50Above0C,2-min,km,-99,n/a,-999,Thickness [50 dBZ top - 0C],
209,3,50,H60AboveM20C,2-min,km,-99,n/a,-999,Thickness [60 dBZ top - (-20C)],
209,3,51,H60Above0C,2-min,km,-99,n/a,-999,Thickness [60 dBZ top - 0C],
209,3,52,Reflectivity0C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at 0C,
209,3,53,ReflectivityM5C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -5C,
209,3,54,ReflectivityM10C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -10C,
209,3,55,ReflectivityM15C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -15C,
209,3,56,ReflectivityM20C,2-min,dBZ,-99,n/a,-999,Isothermal Reflectivity at -20C,
209,3,57,ReflectivityAtLowestAltitude,2-min,dBZ,-99,n/a,-999,ReflectivityAtLowestAltitude,
209,3,57,ReflectivityAtLowestAltitude5km,2-min,dBZ,-99,n/a,-999,ReflectivityAtLowestAltitude resampled from 1 to 5km resolution,NEW!
209,3,58,MergedReflectivityAtLowestAltitude,2-min,dBZ,-99,n/a,-999,Non Quality Controlled Reflectivity At Lowest Altitude,NEW!
209,4,0,IRband4,15-min,K,-99,n/a,-999,Infrared (E/W blend),not disseminated
209,4,1,Visible,5-10-min,non-dim,-1,n/a,-3,Visible (E/W blend),not disseminated
209,4,2,WaterVapor,5-10-min,K,-99,n/a,-999,Water Vapor (E/W blend),not disseminated
209,4,3,CloudCover,5-min,K,-99,n/a,-999,Cloud Cover,not disseminated
209,6,0,PrecipFlag,2-min,flag,-1,n/a,-3,"Surface Precipitation Type (Convective, Stratiform, Tropical, Hail, Snow)",see flag table
209,6,1,PrecipRate,2-min,mm/hr,-1,n/a,-3,Radar Precipitation Rate,
209,6,2,RadarOnlyQPE01H,2-min,mm,-1,n/a,-3,Radar precipitation accumulation 1-hour,
209,6,3,RadarOnlyQPE03H,60-min,mm,-1,n/a,-3,Radar precipitation accumulation 3-hour,
209,6,4,RadarOnlyQPE06H,60-min,mm,-1,n/a,-3,Radar precipitation accumulation 6-hour,
209,6,5,RadarOnlyQPE12H,60-min,mm,-1,n/a,-3,Radar precipitation accumulation 12-hour,
209,6,6,RadarOnlyQPE24H,60-min,mm,-1,n/a,-3,Radar precipitation accumulation 24-hour,
209,6,7,RadarOnlyQPE48H,daily,mm,-1,n/a,-3,Radar precipitation accumulation 48-hour,Frequency increased to hourly
209,6,8,RadarOnlyQPE72H,daily,mm,-1,n/a,-3,Radar precipitation accumulation 72-hour,Frequency increased to hourly
209,6,9,GaugeCorrQPE01H,60-min,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 1-hour,
209,6,10,GaugeCorrQPE03H,60-min,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 3-hour,
209,6,11,GaugeCorrQPE06H,60-min,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 6-hour,
209,6,12,GaugeCorrQPE12H,60-min,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 12-hour,
209,6,13,GaugeCorrQPE24H,60-min,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 24-hour,
209,6,14,GaugeCorrQPE48H,daily,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 48-hour,Frequency increased to hourly
209,6,15,GaugeCorrQPE72H,daily,mm,-1,n/a,-3,Local gauge bias corrected radar precipitation accumulation 72-hour,Frequency increased to hourly
209,6,16,GaugeOnlyQPE01H,60-min,mm,-1,n/a,-3,Gauge only precipitation accumulation 1-hour,
209,6,17,GaugeOnlyQPE03H,60-min,mm,-1,n/a,-3,Gauge only precipitation accumulation 3-hour,
209,6,18,GaugeOnlyQPE06H,60-min,mm,-1,n/a,-3,Gauge only precipitation accumulation 6-hour,
209,6,19,GaugeOnlyQPE12H,60-min,mm,-1,n/a,-3,Gauge only precipitation accumulation 12-hour,
209,6,20,GaugeOnlyQPE24H,60-min,mm,-1,n/a,-3,Gauge only precipitation accumulation 24-hour,
209,6,21,GaugeOnlyQPE48H,daily,mm,-1,n/a,-3,Gauge only precipitation accumulation 48-hour,Frequency increased to hourly
209,6,22,GaugeOnlyQPE72H,daily,mm,-1,n/a,-3,Gauge only precipitation accumulation 72-hour,Frequency increased to hourly
209,6,23,MountainMapperQPE01H,60-min,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 1-hour,
209,6,24,MountainMapperQPE03H,60-min,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 3-hour,
209,6,25,MountainMapperQPE06H,60-min,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 6-hour,
209,6,26,MountainMapperQPE12H,60-min,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 12-hour,
209,6,27,MountainMapperQPE24H,60-min,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 24-hour,
209,6,28,MountainMapperQPE48H,daily,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 48-hour,Frequency increased to hourly
209,6,29,MountainMapperQPE72H,daily,mm,-1,n/a,-3,Mountain Mapper precipitation accumulation 72-hour,Frequency increased to hourly
209,7,0,ModelSurfaceTemp,60-min,C,-99,n/a,-999,Model Surface temperature [RAP 13km],NEW!
209,7,1,ModelWetBulbTemp,60-min,C,-99,n/a,-999,Model Surface wet bulb temperature [RAP 13km],NEW!
209,7,2,WarmRainProbability,60-min,%,-1,n/a,-3,Probability of warm rain [RAP 13km derived],Resolution increased. Uses HRRR
209,7,3,ModelHeight0C,60-min,m MSL,-1,n/a,-3,Model Freezing Level Height [RAP 13km],NEW!
209,7,4,BrightBandTopHeight,2-min,m AGL,-1,n/a,-3,Brightband Top Radar [RAP 13km derived],
209,7,5,BrightBandBottomHeight,2-min,m AGL,-1,n/a,-3,Brightband Bottom Radar [RAP 13km derived],
209,8,0,RadarQualityIndex,2-min,non-dim,-1,n/a,-3,Radar Quality Index,
209,8,1,GaugeInflIndex01H,60-min,non-dim,-1,n/a,-3,Gauge Influence Index for 1-hour QPE,NEW!
209,8,2,GaugeInflIndex03H,60-min,non-dim,-1,n/a,-3,Gauge Influence Index for 3-hour QPE,NEW!
209,8,3,GaugeInflIndex06H,60-min,non-dim,-1,n/a,-3,Gauge Influence Index for 6-hour QPE,NEW!
209,8,4,GaugeInflIndex12H,60-min,non-dim,-1,n/a,-3,Gauge Influence Index for 12-hour QPE,NEW!
209,8,5,GaugeInflIndex24H,60-min,non-dim,-1,n/a,-3,Gauge Influence Index for 24-hour QPE,NEW!
209,8,6,GaugeInflIndex48H,60-min,non-dim,-1,n/a,-3,Gauge Influence Index for 48-hour QPE,NEW!
209,8,7,GaugeInflIndex72H,60-min,non-dim,-1,n/a,-3,Gauge Influence Index for 72-hour QPE,NEW!
209,8,8,SeamlessHSR,2-min,dBZ,-99,n/a,-999,Seamless Hybrid Scan Reflectivity with VPR correction,
209,8,9,SeamlessHSRHeight,2-min,km AGL,-1,n/a,-3,Height of Seamless Hybrid Scan Reflectivity,
209,9,0,ConusMergedReflectivityQC,2-min,dBZ,-99,n/a,-999,WSR-88D 3D Reflectivty Mosaic - 33 CAPPIS (500-19000m),33 levels (one file per level)
209,9,1,ConusPlusMergedReflectivityQC,2-min,dBZ,-99,n/a,-999,All Radar 3D Reflectivty Mosaic - 33 CAPPIS (500-19000m),33 levels (one file per level)
209,10,0,MergedReflectivityQCComposite,2-min,dBZ,-99,n/a,-999,Composite Reflectivity Mosaic (optimal method),
209,10,0,MergedReflectivityQCComposite5km,2-min,dBZ,-99,n/a,-999,Composite Reflectivity Mosaic (optimal method) resampled from 1 to 5km,NEW!
209,10,1,HeightCompositeReflectivity,2-min,m MSL,-1,n/a,-3,Height of Composite Reflectivity Mosaic (optimal method),
209,10,2,LowLevelCompositeReflectivity,2-min,dBZ,-99,n/a,-999,Low-Level Composite Reflectivity Mosaic (0-4km),
209,10,3,HeightLowLevelCompositeReflectivity,2-min,m MSL,-1,n/a,-3,Height of Low-Level Composite Reflectivity Mosaic (0-4km),
209,10,4,LayerCompositeReflectivity_Low,2-min,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic 0-24kft (low altitude),
209,10,5,LayerCompositeReflectivity_High,2-min,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic 24-60 kft (highest altitude),
209,10,6,LayerCompositeReflectivity_Super,2-min,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic 33-60 kft (super high altitude),
209,10,7,ReflectivityCompositeHourlyMax,60-min,dBZ,-99,n/a,-999,Composite Reflectivity Hourly Maximum,
209,10,9,LayerCompositeReflectivity_ANC,2-min,dBZ,-99,n/a,-999,Layer Composite Reflectivity Mosaic (2-4.5km) (for ANC),NEW!
209,11,0,MergedBaseReflectivityQC,2-min,dBZ,-99,n/a,-999,Base Reflectivity Mosaic (optimal method),
209,11,1,MergedReflectivityComposite,2-min,dBZ,-99,n/a,-999,Raw Composite Reflectivity Mosaic (max ref),
209,11,2,MergedReflectivityQComposite,2-min,dBZ,-99,n/a,-999,Composite Reflectivity Mosaic (max ref),
209,11,3,MergedBaseReflectivity,2-min,dBZ,-99,n/a,-999,Raw Base Reflectivity Mosaic (optimal method),NEW!
209,11,4,Merged_LVL3_BaseDHC,2-min,flag,-1,n/a,-3,Level III Base HCA Mosaic (nearest neighbor),NEW!
209,12,0,FLASH_CREST_MAXUNITSTREAMFLOW,10-min,m^3/s/km^2,-999,n/a,-999,FLASH QPE-CREST Unit Streamflow,NEW!
209,12,1,FLASH_CREST_MAXSTREAMFLOW,10-min,m^3/s,-999,n/a,-999,FLASH QPE-CREST Streamflow,NEW!
209,12,2,FLASH_CREST_MAXSOILSAT,10-min,%,-999,n/a,-999,FLASH QPE-CREST Soil Saturation,NEW!
209,12,4,FLASH_SAC_MAXUNITSTREAMFLOW,10-min,m^3/s/km^2,-999,n/a,-999,FLASH QPE-SAC Unit Streamflow,NEW!
209,12,5,FLASH_SAC_MAXSTREAMFLOW,10-min,m^3/s,-999,n/a,-999,FLASH QPE-SAC Streamflow,NEW!
209,12,6,FLASH_SAC_MAXSOILSAT,10-min,%,-999,n/a,-999,FLASH QPE-SAC Soil Saturation,NEW!
209,12,14,FLASH_QPE_ARI30M,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 30-min,NEW!
209,12,15,FLASH_QPE_ARI01H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 01H,NEW!
209,12,16,FLASH_QPE_ARI03H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 03H,NEW!
209,12,17,FLASH_QPE_ARI06H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 06H,NEW!
209,12,18,FLASH_QPE_ARI12H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 12H,NEW!
209,12,19,FLASH_QPE_ARI24H,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval 24H,NEW!
209,12,20,FLASH_QPE_MAX,2-min,years,-999,n/a,-999,FLASH QPE Average Recurrence Interval Maximum,NEW!
209,12,26,FLASH_QPE_FFG01H,2-min,non-dim,-999,n/a,-999,FLASH QPE-to-FFG Ratio 01H,NEW!
209,12,27,FLASH_QPE_FFG03H,2-min,non-dim,-999,n/a,-999,FLASH QPE-to-FFG Ratio 03H,NEW!
209,12,28,FLASH_QPE_FFG06H,2-min,non-dim,-999,n/a,-999,FLASH QPE-to-FFG Ratio 06H,NEW!
209,12,29,FLASH_QPE_FFGMAX,2-min,non-dim,-999,n/a,-999,FLASH QPE-to-FFG Ratio Maximum,NEW!
209,12,39,FLASH_HP_MAXUNITSTREAMFLOW,10-min,m^3/s/km^2,-999,n/a,-999,FLASH QPE-Hydrophobic Unit Streamflow,NEW!
209,12,40,FLASH_HP_MAXSTREAMFLOW,10-min,m^3/s,-999,n/a,-999,FLASH QPE-Hydrophobic Streamflow,NEW!
209,13,0,ANC_ConvectiveLikelihood,10-min,non-dim,0,n/a,0,Likelihood of convection over the next 01H,NEW!
209,13,1,ANC_FinalForecast,10-min,dBZ,0,n/a,0,01H reflectivity forecast,NEW!
209,14,0,LVL3_HREET,2-min,kft,-1,n/a,-3,Level III High Resolution Enhanced Echo Top mosaic,NEW!
